Transaction_ID,Customer_ID,Customer_Name,Customer_Email,Gender,Province,Order_Date,Load_Timestamp,Product_Category,Quantity,Unit_Price,Discount_Rate,Transaction_Amount,Payment_Method,Order_Status,Is_Promotion,Customer_Email_Was_Missing,Province_Was_Missing,Customer_Email_Filled_From_Reference,Province_Filled_From_Reference,Order_Date_Raw,Order_Date_Parse_Method,Order_Date_Was_Imputed,Customer_Name_Normalized,Quantity_Was_Invalid,Expected_Amount,Amount_Difference,Accuracy_Flag,Amount_Was_Negative,Amount_Looks_Like_Sentinel,Status_Was_Invalid,Transaction_Amount_Before_Capping,Outlier_Flag_Before_Capping,Amount_Was_Capped,Load_Delay_Hours,Timeliness_Status
T000127,C0103,Tee Phromla,tee.phromla103@example.com,F,Phuket,2026-06-11,2026-06-11 05:00:00,Sports,3,110.26,0.05,314.24,PromptPay,Cancelled,N,False,False,False,False,2026-06-11,ISO_UNAMBIGUOUS,False,Tee Phromla,False,314.24,0.0,False,False,False,False,314.24,False,False,5.0,On Time
T000169,C0138,Mint Dechawat,mint.dechawat138@example.com,M,Khon Kaen,2026-01-24,2026-01-24 01:00:00,Home,3,138.08,0.05,393.53,PromptPay,Processing,N,False,False,False,False,2026-01-24,ISO_UNAMBIGUOUS,False,Mint Dechawat,False,393.53,0.0,False,False,False,False,393.53,False,False,1.0,On Time
T000003,C0071,Aom Sukjai,aom.sukjai71@example.com,M,Chanthaburi,2026-05-29,2026-05-29 05:00:00,Home,4,263.93,0.0,1055.72,Cash on Delivery,Cancelled,N,False,False,False,False,05/29/2026,RESOLVED_BY_CALENDAR (MM/DD/YYYY),False,Aom Sukjai,False,1055.72,0.0,False,False,False,False,1055.72,False,False,5.0,On Time
T000336,C0152,Tee Dechawat,tee.dechawat152@example.com,M,Chanthaburi,2026-02-01,2026-02-01 18:00:00,Food,6,116.53,0.1,629.26,Bank Transfer,Returned,N,False,False,False,False,02/01/2026,RESOLVED_BY_LOAD_TS (MM/DD/YYYY),False,Tee Dechawat,False,629.26,0.0,False,False,False,False,629.26,False,False,18.0,On Time
T000093,C0090,Mook Sukjai,mook.sukjai90@example.com,M,Chanthaburi,2026-04-18,2026-04-18 13:00:00,Electronics,5,358.35,0.0,1791.75,PromptPay,Processing,N,False,False,False,False,2026-04-18,ISO_UNAMBIGUOUS,False,Mook Sukjai,False,1791.75,0.0,False,False,False,False,1791.75,False,False,13.0,On Time
T000440,C0038,Boss Kittikul,boss.kittikul38@example.com,F,Nakhon Ratchasima,2026-02-23,2026-02-23 05:00:00,Sports,6,142.14,0.0,852.84,Credit Card,Processing,N,False,False,False,False,2026-02-23,ISO_UNAMBIGUOUS,False,Boss Kittikul,False,852.84,0.0,False,False,False,False,852.84,False,False,5.0,On Time
T000419,C0147,Film Chaiyo,film.chaiyo147@example.com,M,Chiang Mai,2026-06-01,2026-06-01 10:00:00,Fashion,2,334.89,0.0,669.78,Bank Transfer,Processing,N,False,False,False,False,2026-06-01,ISO_UNAMBIGUOUS,False,Film Chaiyo,False,669.78,0.0,False,False,False,False,669.78,False,False,10.0,On Time
T000307,C0018,Nont Chaiyo,nont.chaiyo18@example.com,M,Phuket,2026-02-06,2026-02-06 13:00:00,Home,4,484.67,0.0,1891.04,Bank Transfer,Completed,N,False,False,False,False,02/06/2026,RESOLVED_BY_LOAD_TS (MM/DD/YYYY),False,Nont Chaiyo,False,1938.68,-47.64,True,False,False,False,1891.04,False,False,13.0,On Time
T000438,C0073,May Lertprasert,may.lertprasert73@example.com,M,Bangkok,2026-02-26,2026-02-26 09:00:00,Sports,6,238.93,0.1,1290.22,Bank Transfer,Processing,N,False,False,False,False,2026-02-26,ISO_UNAMBIGUOUS,False,May Lertprasert,False,1290.22,0.0,False,False,False,False,1290.22,False,False,9.0,On Time
T000544,C0103,Tee Phromla,tee.phromla103@example.com,F,Phuket,2026-04-25,2026-04-25 03:00:00,Beauty,5,68.77,0.05,326.66,Bank Transfer,Returned,Y,False,False,False,False,2026-04-25,ISO_UNAMBIGUOUS,False,Tee Phromla,False,326.66,0.0,False,False,False,False,326.66,False,False,3.0,On Time
